trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
219,checkerboard,0.557,0.557,1.0,0.0
220,checkerboard,0.443,0.9,0.0,0.0
221,checkerboard,0.329,0.329,1.0,0.0
222,checkerboard,0.1,0.557,1.0,0.0
223,checkerboard,0.786,0.9,0.0,1.0
224,checkerboard,0.443,0.786,0.0,1.0
225,checkerboard,0.786,0.557,1.0,1.0
226,checkerboard,0.671,0.1,1.0,0.0
227,checkerboard,0.329,0.1,1.0,0.0
228,checkerboard,0.786,0.9,1.0,0.0
229,checkerboard,0.9,0.443,0.0,1.0
230,checkerboard,0.1,0.443,1.0,1.0
231,checkerboard,0.329,0.443,1.0,1.0
232,checkerboard,0.443,0.1,0.0,1.0
233,checkerboard,0.671,0.1,1.0,1.0
234,checkerboard,0.443,0.557,0.0,1.0
235,checkerboard,0.557,0.1,1.0,0.0
236,checkerboard,0.214,0.214,1.0,1.0
237,checkerboard,0.557,0.443,1.0,1.0
238,checkerboard,0.786,0.329,0.0,0.0
239,checkerboard,0.9,0.214,1.0,0.0
240,checkerboard,0.214,0.1,1.0,1.0
241,checkerboard,0.9,0.557,1.0,1.0
242,checkerboard,0.329,0.557,0.0,0.0
243,checkerboard,0.671,0.557,1.0,0.0
244,checkerboard,0.329,0.329,0.0,1.0
245,checkerboard,0.329,0.671,0.0,0.0
246,checkerboard,0.443,0.214,0.0,1.0
247,checkerboard,0.214,0.443,0.0,0.0
248,checkerboard,0.329,0.214,0.0,0.0
249,checkerboard,0.329,0.1,0.0,0.0
250,checkerboard,0.9,0.214,0.0,0.0
251,checkerboard,0.214,0.329,1.0,0.0
252,checkerboard,0.214,0.671,1.0,0.0
253,checkerboard,0.9,0.786,0.0,0.0
254,checkerboard,0.329,0.443,1.0,0.0
255,checkerboard,0.443,0.214,1.0,0.0
