trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
90,checkerboard,0.1,0.278,0.0,1.0
91,checkerboard,0.456,0.278,0.0,1.0
92,checkerboard,0.544,0.633,1.0,1.0
93,checkerboard,0.811,0.189,0.0,0.0
94,checkerboard,0.367,0.1,1.0,0.0
95,checkerboard,0.9,0.722,1.0,0.0
96,checkerboard,0.367,0.633,0.0,1.0
97,checkerboard,0.189,0.367,0.0,0.0
98,checkerboard,0.811,0.1,1.0,1.0
99,checkerboard,0.456,0.811,0.0,0.0
100,checkerboard,0.367,0.722,0.0,1.0
101,checkerboard,0.1,0.811,1.0,0.0
102,checkerboard,0.456,0.9,1.0,1.0
103,checkerboard,0.278,0.811,0.0,1.0
104,checkerboard,0.544,0.278,1.0,0.0
105,checkerboard,0.456,0.811,1.0,0.0
106,checkerboard,0.811,0.9,0.0,0.0
107,checkerboard,0.367,0.722,0.0,0.0
108,checkerboard,0.9,0.633,1.0,0.0
109,checkerboard,0.722,0.633,1.0,1.0
110,checkerboard,0.633,0.811,1.0,1.0
111,checkerboard,0.722,0.189,0.0,1.0
112,checkerboard,0.722,0.1,1.0,0.0
113,checkerboard,0.9,0.722,0.0,1.0
114,checkerboard,0.633,0.278,0.0,1.0
115,checkerboard,0.544,0.811,0.0,0.0
116,checkerboard,0.367,0.278,1.0,0.0
117,checkerboard,0.633,0.722,0.0,1.0
118,checkerboard,0.9,0.544,1.0,0.0
119,checkerboard,0.278,0.722,1.0,0.0
120,checkerboard,0.189,0.9,0.0,0.0
121,checkerboard,0.811,0.367,0.0,1.0
122,checkerboard,0.278,0.367,1.0,0.0
123,checkerboard,0.9,0.811,0.0,1.0
124,checkerboard,0.722,0.189,0.0,0.0
125,checkerboard,0.633,0.1,1.0,0.0
126,checkerboard,0.811,0.722,0.0,0.0
127,checkerboard,0.811,0.367,1.0,0.0
128,checkerboard,0.633,0.456,0.0,1.0
129,checkerboard,0.544,0.367,0.0,0.0
130,checkerboard,0.189,0.722,0.0,1.0
131,checkerboard,0.189,0.633,0.0,0.0
132,checkerboard,0.189,0.367,1.0,0.0
133,checkerboard,0.722,0.456,1.0,0.0
134,checkerboard,0.189,0.456,0.0,1.0
135,checkerboard,0.722,0.456,0.0,0.0
136,checkerboard,0.278,0.811,0.0,0.0
137,checkerboard,0.1,0.189,0.0,1.0
138,checkerboard,0.189,0.544,0.0,0.0
139,checkerboard,0.189,0.633,1.0,0.0
140,checkerboard,0.278,0.189,1.0,0.0
141,checkerboard,0.633,0.544,1.0,0.0
142,checkerboard,0.722,0.811,1.0,1.0
143,checkerboard,0.189,0.278,1.0,1.0
144,checkerboard,0.544,0.811,0.0,1.0
145,checkerboard,0.189,0.811,1.0,1.0
146,checkerboard,0.544,0.367,1.0,1.0
147,checkerboard,0.1,0.367,1.0,1.0
148,checkerboard,0.1,0.189,0.0,0.0
149,checkerboard,0.456,0.633,1.0,1.0
150,checkerboard,0.367,0.811,0.0,0.0
151,checkerboard,0.9,0.278,1.0,1.0
152,checkerboard,0.278,0.278,0.0,1.0
153,checkerboard,0.9,0.278,0.0,1.0
154,checkerboard,0.544,0.544,1.0,0.0
155,checkerboard,0.278,0.189,0.0,1.0
156,checkerboard,0.633,0.811,0.0,0.0
157,checkerboard,0.811,0.722,1.0,0.0
158,checkerboard,0.633,0.278,0.0,0.0
159,checkerboard,0.278,0.722,1.0,1.0
160,checkerboard,0.1,0.189,1.0,0.0
161,checkerboard,0.9,0.367,0.0,0.0
162,checkerboard,0.811,0.1,0.0,0.0
163,checkerboard,0.633,0.722,0.0,0.0
164,checkerboard,0.189,0.811,1.0,0.0
165,checkerboard,0.456,0.367,1.0,1.0
166,checkerboard,0.278,0.722,0.0,1.0
167,checkerboard,0.189,0.9,1.0,0.0
168,checkerboard,0.722,0.722,0.0,1.0
169,checkerboard,0.189,0.633,0.0,1.0
170,checkerboard,0.633,0.544,0.0,0.0
171,checkerboard,0.367,0.544,1.0,0.0
172,checkerboard,0.544,0.9,1.0,1.0
173,checkerboard,0.1,0.1,0.0,1.0
174,checkerboard,0.189,0.544,1.0,0.0
175,checkerboard,0.633,0.278,1.0,0.0
176,checkerboard,0.456,0.189,0.0,0.0
177,checkerboard,0.1,0.722,0.0,0.0
178,checkerboard,0.367,0.367,0.0,1.0
179,checkerboard,0.722,0.1,1.0,1.0
180,checkerboard,0.456,0.1,1.0,1.0
181,checkerboard,0.456,0.544,0.0,1.0
182,checkerboard,0.9,0.811,1.0,0.0
183,checkerboard,0.633,0.367,0.0,1.0
184,checkerboard,0.456,0.367,0.0,1.0
185,checkerboard,0.367,0.9,1.0,1.0
186,checkerboard,0.633,0.1,0.0,1.0
187,checkerboard,0.189,0.811,0.0,1.0
188,checkerboard,0.189,0.456,1.0,1.0
189,checkerboard,0.722,0.811,1.0,0.0
